1950,classical,3.611020835590222e-05,0.00010213509279407036
1960,classical,0.0007912672812102062,0.001142335003107484
1970,classical,0.0026951979655651056,0.0021569430953985694
1980,classical,0.003422850061500952,0.002742726817807874
1990,classical,0.04437977673213766,0.10228289557861851
2000,classical,0.030498374094543097,0.03453709280416646
2010,classical,0.00010545736290118854,0.00021392310124933046
all,classical,0.17237485660556218,0.18290585066313841
1950,oldies,0.0007783117298127342,0.0013096106360534416
1960,oldies,0.01860292194150282,0.038075140601159255
1970,oldies,0.0052331269542673356,0.004409677495058596
1980,oldies,0.005412309139523502,0.004046172129281868
1990,oldies,0.010256197208682434,0.00832926447821884
2000,oldies,0.007104388406587398,0.0054693726256742885
2010,oldies,0.00017456600976414156,0.00030140263988997763
all,oldies,0.09532648383495122,0.06865899689197474
1950,dub,0.00016390980229942346,0.0002743906002729416
1960,dub,0.0005013947133473151,0.0008136452243130405
1970,dub,0.0018093075250892872,0.001893087038175949
1980,dub,0.004680422628133042,0.003795129729636741
1990,dub,0.014250435391581166,0.010327995735756006
2000,dub,0.04075530367793478,0.03402934028667556
2010,dub,0.0006658184012977452,0.0011034111251732805
all,dub,0.1519787733632646,0.07502560902810401
1950,new wave,0.00018055104177951107,0.0005106754639703518
1960,new wave,0.001172366719108016,0.0012792187821726413
1970,new wave,0.004095954187071287,0.003174780779577009
1980,new wave,0.010770820400953321,0.008353582439483937
1990,new wave,0.01668507711836714,0.010101624781165042
2000,new wave,0.020801011614847403,0.011380462358832276
2010,new wave,0.0005834187924858893,0.0010739190926560935
all,new wave,0.12505250145364089,0.08250378357203383
1950,soft rock,0.0002860084046806996,0.0007093533222805169
1960,soft rock,0.01729503645777187,0.03835541595854734
1970,soft rock,0.004669965168154978,0.0037727499213366564
1980,soft rock,0.008956498842879421,0.006848161386057754
1990,soft rock,0.016375154664697595,0.009468246870567746
2000,soft rock,0.015039259584182452,0.00915564886566872
2010,soft rock,0.00042606252678665927,0.000550841543086683
all,soft rock,0.09948933090565427,0.03796547437718896
1950,blues-rock,0.00017480451744647488,0.00033886886097752016
1960,blues-rock,0.017152193945045982,0.038311426014815325
1970,blues-rock,0.007660061233969929,0.005513573322249323
1980,blues-rock,0.006465254598345735,0.004689887281796357
1990,blues-rock,0.0129953053183004,0.009035308909194403
2000,blues-rock,0.014321001060138703,0.008499732541059178
2010,blues-rock,0.0005899723290860826,0.0005707504364122481
all,blues-rock,0.1110109177901037,0.06102944007436144
1950,synthpop,9.456264775413712e-05,0.0002674635578956208
1960,synthpop,0.0012953535327889529,0.0016421304635517863
1970,synthpop,0.0024232113197523966,0.0020294421164620685
1980,synthpop,0.00781433190202861,0.006207630547041943
1990,synthpop,0.054175322635715985,0.09907086453004396
2000,synthpop,0.02411701924340263,0.016438532778534087
2010,synthpop,0.0003356025498970469,0.00041073669348670603
all,synthpop,0.189709434964193,0.17069759915543342
1950,chill-out,9.456264775413712e-05,0.0002674635578956208
1960,chill-out,0.0010233851145524386,0.0011763702242773492
1970,chill-out,0.0015472761187564055,0.0012073809349214392
1980,chill-out,0.004532697738189161,0.002747582509446232
1990,chill-out,0.015564860234817714,0.009245376886156976
2000,chill-out,0.03247991509439796,0.02012561069385316
2010,chill-out,0.0003717127582529491,0.0004223386096587155
all,chill-out,0.15311689576626555,0.07339855231010753
1950,heavy metal,0.0,0.0
1960,heavy metal,0.014033329722312499,0.03923473634937812
1970,heavy metal,0.004442615413131191,0.0028424354683014184
1980,heavy metal,0.007286130322991197,0.00460445096261596
1990,heavy metal,0.013656368512852922,0.008584514092456903
2000,heavy metal,0.027258191699335424,0.01655098444470316
2010,heavy metal,0.0008341240010778439,0.0008461219294731408
all,heavy metal,0.11235856024196715,0.06028661045535642
1950,folk rock,0.0005221386236919275,0.0010105303285252829
1960,folk rock,0.0030906272448713128,0.0032411189689631414
1970,folk rock,0.0053543100828094235,0.0036697677774235517
1980,folk rock,0.006294271586948196,0.004982095898215999
1990,folk rock,0.015193486568870793,0.009581302278564163
2000,folk rock,0.021877590761701256,0.012914770016867392
2010,folk rock,0.0008105068285667133,0.0011090220157139055
all,folk rock,0.09463925830935445,0.051869472360213595
1950,90s,7.222041671180444e-05,0.00020427018558814072
1960,90s,0.014271058262021444,0.03915206221775743
1970,90s,0.002241756391219897,0.0017907411314587855
1980,90s,0.007853203969869965,0.006082492095554986
1990,90s,0.025941059907770483,0.016932360482430124
2000,90s,0.023387958914862977,0.014249874704389105
2010,90s,0.0006894446599719017,0.0007500656634865355
all,90s,0.1429024478348546,0.09353065543093787
1950,techno,0.00018055104177951107,0.0005106754639703518
1960,techno,0.01453297789247529,0.03906617721863369
1970,techno,0.001462931578199543,0.0014879748052402093
1980,techno,0.006183596985525544,0.006271603007347274
1990,techno,0.05789829578746782,0.09861074144267716
2000,techno,0.03902134226461967,0.03204872904091575
2010,techno,0.0012571563586293959,0.0012863220910321964
all,techno,0.25698078002988134,0.18498420246411437
1950,germany,7.222041671180444e-05,0.00020427018558814072
1960,germany,0.016382928070677736,0.038466341121882755
1970,germany,0.004865924736630916,0.004405488008567054
1980,germany,0.00708073023151309,0.004566283263065685
1990,germany,0.05158273609663788,0.09996164374288923
2000,germany,0.02668912014138022,0.017440344407366765
2010,germany,0.0009854326641675426,0.0011950365534605367
all,germany,0.16320256776953507,0.0665783572327071
1950,r&b,0.00043044923810430847,0.0011156406896389841
1960,r&b,0.0027489882928605895,0.00337333001506459
1970,r&b,0.002450741058287208,0.0025540270480967258
1980,r&b,0.0036660464987387526,0.0027927303690300415
